Device : ;PAX1000IR2
Serial Number : ;M00693781
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1345
Basic Sample Rate [Hz] : ;100
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-07-20 13:01:10.00;0.00:00:00:054;-0.23;0.97;-0.03;11.99;-2.699;11.17;-0.3313;51.79;-0.83;95.84;2.76;95.80;11.99;11.5;0.4988;10.790;10.605;-3.021;0.38;-1.70;
2023-07-20 13:01:10.02;0.00:00:00:074;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3324;51.79;-0.83;95.83;2.77;95.79;12;11.49;0.5002;10.790;10.605;-3.009;0.38;-1.70;
2023-07-20 13:01:10.03;0.00:00:00:084;-0.23;0.97;-0.03;11.99;-2.699;11.17;-0.333;51.79;-0.83;95.84;2.78;95.80;11.99;11.5;0.4993;10.790;10.605;-3.016;0.38;-1.71;
2023-07-20 13:01:10.05;0.00:00:00:104;-0.23;0.97;-0.03;11.99;-2.698;11.17;-0.3331;51.79;-0.83;95.83;2.78;95.79;11.99;11.49;0.4997;10.790;10.605;-3.013;0.38;-1.71;
2023-07-20 13:01:10.07;0.00:00:00:125;-0.23;0.97;-0.03;11.99;-2.699;11.17;-0.333;51.79;-0.83;95.83;2.78;95.79;11.99;11.49;0.5004;10.790;10.605;-3.007;0.38;-1.71;
2023-07-20 13:01:10.09;0.00:00:00:144;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3324;51.79;-0.83;95.83;2.77;95.79;12;11.5;0.4998;10.790;10.605;-3.012;0.38;-1.70;
2023-07-20 13:01:10.11;0.00:00:00:165;-0.23;0.97;-0.03;12;-2.697;11.17;-0.3332;51.79;-0.83;95.82;2.78;95.78;12;11.49;0.5013;10.790;10.605;-2.999;0.38;-1.71;
2023-07-20 13:01:10.13;0.00:00:00:184;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3332;51.79;-0.83;95.83;2.78;95.79;12;11.5;0.5001;10.790;10.605;-3.009;0.38;-1.71;
2023-07-20 13:01:10.14;0.00:00:00:194;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3333;51.79;-0.83;95.83;2.78;95.78;12;11.49;0.5008;10.790;10.605;-3.003;0.38;-1.71;
2023-07-20 13:01:10.17;0.00:00:00:224;-0.23;0.97;-0.03;12;-2.698;11.17;-0.334;51.79;-0.83;95.83;2.78;95.79;12;11.5;0.5002;10.790;10.605;-3.009;0.38;-1.71;
2023-07-20 13:01:10.19;0.00:00:00:244;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3343;51.79;-0.83;95.83;2.79;95.79;12;11.5;0.5004;10.790;10.605;-3.007;0.38;-1.71;
2023-07-20 13:01:10.21;0.00:00:00:264;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3344;51.79;-0.83;95.83;2.79;95.79;12;11.5;0.5001;10.790;10.606;-3.010;0.38;-1.71;
2023-07-20 13:01:10.23;0.00:00:00:284;-0.23;0.97;-0.03;12;-2.698;11.17;-0.335;51.79;-0.83;95.83;2.79;95.79;12;11.5;0.5;10.790;10.606;-3.010;0.38;-1.72;
2023-07-20 13:01:10.27;0.00:00:00:324;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3359;51.79;-0.84;95.83;2.80;95.79;12;11.5;0.4998;10.791;10.606;-3.012;0.38;-1.72;
2023-07-20 13:01:10.29;0.00:00:00:344;-0.23;0.97;-0.03;12;-2.697;11.17;-0.336;51.79;-0.84;95.83;2.80;95.79;12;11.5;0.5008;10.791;10.606;-3.004;0.38;-1.72;
2023-07-20 13:01:10.31;0.00:00:00:364;-0.23;0.97;-0.03;12;-2.698;11.17;-0.335;51.79;-0.83;95.83;2.79;95.79;12;11.5;0.4998;10.791;10.606;-3.012;0.38;-1.72;
2023-07-20 13:01:10.33;0.00:00:00:384;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3369;51.79;-0.84;95.83;2.81;95.79;12;11.5;0.4998;10.791;10.606;-3.012;0.38;-1.73;
2023-07-20 13:01:10.35;0.00:00:00:404;-0.23;0.97;-0.03;12;-2.696;11.17;-0.3363;51.78;-0.84;95.82;2.80;95.78;12;11.5;0.5015;10.791;10.606;-2.997;0.38;-1.72;
2023-07-20 13:01:10.37;0.00:00:00:424;-0.23;0.97;-0.03;12;-2.698;11.17;-0.336;51.79;-0.84;95.83;2.80;95.79;12;11.5;0.5001;10.791;10.606;-3.009;0.38;-1.72;
2023-07-20 13:01:10.39;0.00:00:00:444;-0.23;0.97;-0.03;12;-2.697;11.17;-0.3369;51.79;-0.84;95.83;2.81;95.79;12;11.5;0.4998;10.791;10.606;-3.012;0.38;-1.73;
2023-07-20 13:01:10.41;0.00:00:00:464;-0.23;0.97;-0.03;12;-2.697;11.17;-0.3365;51.79;-0.84;95.83;2.80;95.78;12;11.5;0.5009;10.791;10.606;-3.003;0.38;-1.73;
2023-07-20 13:01:10.43;0.00:00:00:484;-0.23;0.97;-0.03;12;-2.698;11.17;-0.3365;51.79;-0.84;95.83;2.81;95.78;12;11.5;0.5008;10.791;10.606;-3.003;0.38;-1.73;
2023-07-20 13:01:10.45;0.00:00:00:504;-0.23;0.97;-0.03;12;-2.696;11.17;-0.3377;51.78;-0.84;95.82;2.81;95.78;12;11.5;0.5018;10.792;10.606;-2.994;0.38;-1.73;
2023-07-20 13:01:10.47;0.00:00:00:524;-0.23;0.97;-0.03;12;-2.698;11.17;-0.338;51.79;-0.84;95.83;2.82;95.78;12;11.5;0.5007;10.791;10.606;-3.004;0.38;-1.73;
2023-07-20 13:01:10.49;0.00:00:00:544;-0.23;0.97;-0.03;12;-2.696;11.17;-0.338;51.78;-0.84;95.82;2.82;95.78;12;11.5;0.5017;10.791;10.606;-2.996;0.38;-1.73;
2023-07-20 13:01:10.51;0.00:00:00:564;-0.23;0.97;-0.03;12;-2.696;11.17;-0.3384;51.78;-0.84;95.82;2.82;95.78;12;11.5;0.5013;10.791;10.606;-2.999;0.38;-1.73;
